ステージ名,盤面,構成（左から重み 4 / 3 / 2 / 0.8 / 0.2）
1-2 (樹海),序盤,スライム / 木スライム / ジャンプスライム / はち / こうもり
1-2 (樹海),中盤,木スライム / ジャンプスライム / 高速スライム / こうもり / イノシシ
1-2 (樹海),終盤,ジャンプスライム / 高速スライム / こうもり / 斧ゴブリン / はち
1-2 (樹海),ボス,でかスライム
1-4 (樹海),序盤,木スライム / 高速スライム / こうもり / 木こうもり / 斧ゴブリン
1-4 (樹海),中盤,高速スライム / こうもり / はち / イノシシ / 木ゴブリン
1-4 (樹海),終盤,イノシシ / 高速スライム / イノシシ / 斧ゴブリン / 槍ゴブリン
1-4 (樹海),ボス,でかスライム
1-6 (樹海),序盤,ジャンプスライム / 高速スライム / こうもり / はち / 斧ゴブリン
1-6 (樹海),中盤,こうもり / はち / イノシシ / ジグザグこうもり / 石落としこうもり
1-6 (樹海),終盤,こうもり / ジグザグこうもり / 木こうもり / 槍ゴブリン / スケルトン
1-6 (樹海),ボス,でかスライム*2
2-2 (砂漠),序盤,スライム / 水スライム / 火スライム / 高速スライム / 斧ゴブリン
2-2 (砂漠),中盤,火スライム / 高速スライム / 水スライム / イノシシ / 火ゴブリン
2-2 (砂漠),終盤,高速スライム / 水スライム / 斧ゴブリン / 火ゴブリン / スケルトン
2-2 (砂漠),ボス,斧ゴブリン*3+でかスライム
2-4 (砂漠),序盤,火スライム / 高速スライム / 水スライム / ジグザグこうもり / 火ゴブリン
2-4 (砂漠),中盤,火スライム / 水スライム / 火ゴブリン / 槍ゴブリン / スケルトン
2-4 (砂漠),終盤,ジグザグこうもり / 火ゴブリン / 槍ゴブリン / スケルトン / 盾スケルトン
2-4 (砂漠),ボス,でかイノシシ
2-6 (砂漠),序盤,高速スライム / はち / 石落としこうもり / 火ゴブリン / 石落としこうもり
2-6 (砂漠),中盤,火こうもり / 石落としこうもり / 槍ゴブリン / スケルトン / 弓スケルトン
2-6 (砂漠),終盤,火ゴブリン / 槍ゴブリン / 爆弾落としこうもり / スケルトン / 盾スケルトン
2-6 (砂漠),ボス,イノシシ*2+でかイノシシ
3-2 (活火山),序盤,斧ゴブリン / 火ゴブリン / 火こうもり / 石落としこうもり / でかイノシシ
3-2 (活火山),中盤,火ゴブリン / 斧ゴブリン / 火こうもり / 槍ゴブリン / 盾スケルトン
3-2 (活火山),終盤,火ゴブリン / 爆弾落としこうもり / 槍ゴブリン / スケルトン / でかイノシシ
3-2 (活火山),ボス,騎乗ゴブリン
3-4 (活火山),序盤,火ゴブリン / 火こうもり / 石落としこうもり / スケルトン / 盾スケルトン
3-4 (活火山),中盤,爆弾落としこうもり / 火こうもり / ジグザグこうもり / 盾スケルトン / 弓スケルトン
3-4 (活火山),終盤,火ゴブリン / 槍ゴブリン / 盾スケルトン / 弓スケルトン / 魔術師スケルトン
3-4 (活火山),ボス,盾スケルトン+騎乗ゴブリン
3-6 (活火山),序盤,火ゴブリン / 石落としこうもり / スケルトン / 盾スケルトン / 弓スケルトン
3-6 (活火山),中盤,火ゴブリン / 爆弾落としこうもり / 盾スケルトン / 弓スケルトン / 魔術師スケルトン
3-6 (活火山),終盤,槍ゴブリン / 火ゴブリン / 弓スケルトン / 魔術師スケルトン / ボススケルトン
3-6 (活火山),ボス,盾スケルトン*2+騎乗ゴブリン
4-2 (氷の大地),序盤,氷ゴブリン / 氷こうもり / 氷スライム / 槍ゴブリン / スケルトン
4-2 (氷の大地),中盤,氷ゴブリン / 槍ゴブリン / 石落としこうもり / 氷はち / 盾スケルトン
4-2 (氷の大地),終盤,氷ゴブリン / ジグザグこうもり / 爆弾落としこうもり / 盾スケルトン / でかイノシシ
4-2 (氷の大地),ボス,ボススケルトン
4-4 (氷の大地),序盤,氷ゴブリン / 氷はち / 石落としこうもり / スケルトン / 盾スケルトン
4-4 (氷の大地),中盤,氷はち / ジグザグこうもり / 爆弾落としこうもり / 氷こうもり / 弓スケルトン
4-4 (氷の大地),終盤,槍ゴブリン / 氷ゴブリン / 弓スケルトン / 魔術師スケルトン / ボススケルトン
4-4 (氷の大地),ボス,盾スケルトン+ボススケルトン
4-6 (氷の大地),序盤,氷ゴブリン / 爆弾落としこうもり / スケルトン / 盾スケルトン / でかイノシシ
4-6 (氷の大地),中盤,氷ゴブリン / スケルトン / 魔術師スケルトン / でかいのしし / 騎乗ゴブリン
4-6 (氷の大地),終盤,槍ゴブリン / スケルトン / 氷ゴブリン / でかスライム / でかイノシシ
4-6 (氷の大地),ボス,騎乗ゴブリン*2+ボススケルトン
5-2 (天空),序盤,スケルトン / 槍スケルトン / 斧ゴブリン / 槍スケルトン / 反射スケルトン
5-2 (天空),中盤,槍スケルトン / スケルトン / 盾スケルトン / 爆弾落としこうもり / 反射スケルトン
5-2 (天空),終盤,弓スケルトン / スケルトン / 魔術師スケルトン / でかいのしし / 反射スケルトン
5-2 (天空),ボス,反射スケルトン+ボススケルトン
5-4 (天空),序盤,槍スケルトン / 弓スケルトン / 爆弾落としこうもり / 魔術師スケルトン / 反射スケルトン
5-4 (天空),中盤,スケルトン / 魔術師スケルトン / でかいのしし / でかスライム / 反射スケルトン
5-4 (天空),終盤,魔術師スケルトン / 槍スケルトン / 騎乗ゴブリン / ボススケルトン / 反射スケルトン
5-4 (天空),ボス,反射スケルトン+でかスライム+ボススケルトン
5-6 (天空),序盤,弓スケルトン / 魔術師スケルトン / 爆弾落としこうもり / 騎乗ゴブリン / 反射スケルトン
5-6 (天空),中盤,魔術師スケルトン / 爆弾落としこうもり / でかスライム / ボススケルトン / 反射スケルトン
5-6 (天空),終盤,盾スケルトン / 弓スケルトン / 魔術師スケルトン / 騎乗ゴブリン / 反射スケルトン
5-6 (天空),ボス,反射スケルトン+騎乗ゴブリン*2+ボススケルトン
6-2 (魔族),序盤,魔術師スケルトン / 盾スケルトン / 弓スケルトン / 魔術師スケルトン / でかいのしし
6-2 (魔族),中盤,盾スケルトン / 魔術師スケルトン / 魔術師スケルトン / 騎乗ゴブリン / 反射スケルトン
6-2 (魔族),終盤,魔術師スケルトン / 弓スケルトン / でかスライム / 真似魔術師 / 反射スケルトン
6-2 (魔族),ボス,ボス魔術師
6-4 (魔族),序盤,魔術師スケルトン / 弓スケルトン / 反射スケルトン / 真似魔術師 / 反射スケルトン
6-4 (魔族),中盤,魔術師スケルトン / 盾スケルトン / 真似魔術師 / ボススケルトン / 反射スケルトン
6-4 (魔族),終盤,真似魔術師 / 魔術師スケルトン / 反射スケルトン / ボススケルトン / 反射スケルトン
6-4 (魔族),ボス,反射スケルトン*2+ボス魔術師
6-6 (魔族),序盤,真似魔術師 / 盾スケルトン / 反射スケルトン / ボススケルトン / 真似魔術師
6-6 (魔族),中盤,真似魔術師 / 魔術師スケルトン / 騎乗ゴブリン / 反射スケルトン / 真似魔術師
6-6 (魔族),終盤,真似魔術師 / 盾スケルトン / 反射スケルトン / 魔術師スケルトン / 真似魔術師
